City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chuy,UY,-33.6971,-53.4616,55.65,85,100,9.62,overcast clouds
80,Talnakh,RU,69.4865,88.3972,22.84,89,35,0.47,scattered clouds
81,Ponta Do Sol,PT,32.6667,-17.1,71.71,79,0,1.74,clear sky
82,Ierapetra,GR,35.01,25.7353,68.18,62,2,13,clear sky
83,Norman Wells,CA,65.282,-126.8329,34.86,94,100,8.63,overcast clouds
84,Bethel,US,41.3712,-73.414,64.92,87,1,4.61,clear sky
85,Ostrovnoy,RU,68.0531,39.5131,46.56,88,100,16.93,overcast clouds
86,Tiksi,RU,71.6872,128.8694,28.63,80,87,16.26,overcast clouds
87,Mutoko,ZW,-17.397,32.2268,62.78,54,4,3.58,clear sky
88,Nagapattinam,IN,10.7667,79.8333,86.9,64,60,2.82,broken clouds
89,Nikolskoye,RU,59.7035,30.7861,42.87,96,17,5.01,few clouds
90,Lyuban,BY,52.7985,28.0048,41.09,75,76,7.45,broken clouds
91,Baykit,RU,61.67,96.37,37.54,84,95,3.31,overcast clouds
92,Jamestown,US,42.097,-79.2353,64.71,86,90,1.01,overcast clouds
93,Mahebourg,MU,-20.4081,57.7,76.24,69,40,15.37,scattered clouds
94,Colac,AU,-38.3333,143.5833,69.15,79,95,9.4,light rain
95,Airai,TL,-8.9266,125.4092,77.76,44,65,3.06,broken clouds
96,Albany,US,42.6001,-73.9662,60.31,88,61,3.06,broken clouds
97,Hobart,AU,-42.8794,147.3294,61.11,77,75,11.5,broken clouds
98,Butaritari,KI,3.0707,172.7902,82.13,68,19,16.28,few clouds
99,Faya,SA,18.3851,42.4509,61.32,28,96,3.53,overcast clouds
100,Bodden Town,KY,19.2833,-81.25,80.92,92,9,4,clear sky
101,Heihe,CN,50.2441,127.4902,45.18,56,100,13.15,light rain
102,Pishin,PK,30.5803,66.9961,71.94,23,1,7.49,clear sky
103,Tasiilaq,GL,65.6145,-37.6368,33.96,62,1,6.62,clear sky
104,Chara,RU,56.9064,118.2631,38.88,49,11,1.59,few clouds
105,Chichawatni,PK,30.5333,72.7,95.34,36,55,12.71,broken clouds
106,Wuda,CN,39.4994,106.7117,66.9,11,98,13.27,overcast clouds
107,Surt,LY,31.2089,16.5887,71.38,62,0,10.74,clear sky
108,Bastia,FR,42.6667,9.3333,67.3,88,75,1.01,broken clouds
109,Matay,EG,28.419,30.7792,68.45,72,0,8.88,clear sky
