City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Faanui,PF,2021-09-30 21:53:50,-16.4833,-151.75,79.39,71,3,17.22
68,Kundiawa,PG,2021-09-30 21:53:50,-6.0167,144.9667,66.09,95,100,1.03
69,Saint George,US,2021-09-30 21:51:12,37.1041,-113.5841,81.07,16,1,7.0
70,Moa,CU,2021-09-30 21:53:50,20.6569,-74.9403,81.97,78,80,8.21
71,Russell,US,2021-09-30 21:53:51,32.3502,-85.1999,83.48,70,75,0.0
72,Itaquyry,PY,2021-09-30 21:53:51,-24.9333,-55.2167,88.02,30,35,5.14
73,Nassau,US,2021-09-30 21:52:42,40.7507,-73.5829,66.0,58,90,1.01
74,Popondetta,PG,2021-09-30 21:53:52,-8.7537,148.2534,81.01,75,100,0.78
75,Vestmannaeyjar,IS,2021-09-30 21:53:52,63.4427,-20.2734,43.12,73,100,19.86
76,Ushuaia,AR,2021-09-30 21:53:52,-54.8,-68.3,46.06,39,40,4.61
77,Kapaa,US,2021-09-30 21:53:52,22.0752,-159.319,80.47,69,37,4.0
78,Sakaiminato,JP,2021-09-30 21:53:53,35.55,133.2333,73.38,83,75,8.05
79,Mar Del Plata,AR,2021-09-30 21:53:53,-38.0023,-57.5575,60.13,29,90,5.99
80,Balkhash,KZ,2021-09-30 21:53:53,46.844,74.9804,43.52,59,56,12.46
81,Goundi,TD,2021-09-30 21:53:54,9.3627,17.366,76.84,80,98,3.04
82,Talcahuano,CL,2021-09-30 21:53:54,-36.7167,-73.1167,56.88,51,40,8.05
83,Port Elizabeth,ZA,2021-09-30 21:53:54,-33.918,25.5701,61.11,100,75,10.36
84,Cidreira,BR,2021-09-30 21:53:55,-30.1811,-50.2056,65.21,79,100,27.34
85,Mandalgovi,MN,2021-09-30 21:53:55,45.7625,106.2708,40.35,45,96,3.0
86,Hangu,CN,2021-09-30 21:53:55,39.2489,117.7892,64.44,93,26,11.74
87,Ostrovnoy,RU,2021-09-30 21:53:56,68.0531,39.5131,42.69,87,100,5.08
88,Jamestown,US,2021-09-30 21:53:56,42.097,-79.2353,59.29,68,40,3.0
89,Arlit,NE,2021-09-30 21:53:56,18.7369,7.3853,91.26,9,44,11.77
90,Henties Bay,NA,2021-09-30 21:53:57,-22.116,14.2845,55.85,82,100,12.3
91,Tobane,BW,2021-09-30 21:53:57,-21.95,27.9,66.6,67,41,7.45
92,Hamilton,US,2021-09-30 21:53:57,39.1834,-84.5333,79.99,52,100,1.01
93,Saskylakh,RU,2021-09-30 21:53:58,71.9167,114.0833,18.59,95,99,1.39
94,Upernavik,GL,2021-09-30 21:53:58,72.7868,-56.1549,32.47,83,100,14.23
95,Carnarvon,AU,2021-09-30 21:53:58,-24.8667,113.6333,69.87,88,75,9.22
96,Port Lincoln,AU,2021-09-30 21:53:58,-34.7333,135.8667,55.11,71,86,14.07
97,Novaya Bryan,RU,2021-09-30 21:53:59,51.7159,108.2691,23.77,89,11,2.1
98,Sao Jose Da Coroa Grande,BR,2021-09-30 21:53:59,-8.8978,-35.1478,75.58,87,33,8.59
99,Luwuk,ID,2021-09-30 21:53:59,-0.9516,122.7875,76.62,89,67,3.74
100,New Norfolk,AU,2021-09-30 21:54:00,-42.7826,147.0587,55.76,72,100,1.01
101,Oum Hadjer,TD,2021-09-30 21:54:00,13.2954,19.6966,85.96,20,1,6.91
102,Sinnamary,GF,2021-09-30 21:54:00,5.3833,-52.95,80.58,79,28,8.7
103,Marawi,PH,2021-09-30 21:54:01,7.9986,124.2928,64.65,92,87,2.44
104,Bethel,US,2021-09-30 21:51:37,41.3712,-73.414,62.73,67,90,6.91
105,Vyshneve,UA,2021-09-30 21:54:01,50.3891,30.3705,46.06,77,10,0.0
106,Salalah,OM,2021-09-30 21:54:02,17.0151,54.0924,79.23,86,100,1.83
107,Tamandare,BR,2021-09-30 21:54:02,-8.7597,-35.1047,75.36,88,41,7.81
108,Lebu,CL,2021-09-30 21:54:02,-37.6167,-73.65,52.86,74,65,8.79
109,Port Alfred,ZA,2021-09-30 21:54:03,-33.5906,26.891,62.89,92,18,3.78
110,Vallenar,CL,2021-09-30 21:54:03,-28.5708,-70.7581,73.85,23,0,6.49
111,Kungurtug,RU,2021-09-30 21:54:03,50.5994,97.5228,29.89,94,50,2.95
112,Richards Bay,ZA,2021-09-30 21:54:03,-28.783,32.0377,66.47,87,100,5.21
113,Abhar,IR,2021-09-30 21:54:04,36.1468,49.218,51.91,89,66,6.6
114,Payo,ID,2021-09-30 21:54:04,-3.7508,103.6372,71.85,95,100,2.13
115,Amapa,BR,2021-09-30 21:54:04,1.0,-52.0,82.63,59,77,4.32
116,Mataura,NZ,2021-09-30 21:54:05,-46.1927,168.8643,51.48,72,99,4.88
117,Lillooet,CA,2021-09-30 21:54:05,50.6856,-121.942,66.92,67,96,6.42
118,Bartica,GY,2021-09-30 21:54:05,6.4,-58.6167,86.32,84,63,3.74
119,Kahului,US,2021-09-30 21:54:06,20.8947,-156.47,85.26,90,33,5.01
120,Derzhavinsk,KZ,2021-09-30 21:54:06,51.1,66.3167,36.45,82,45,7.74
121,Nouadhibou,MR,2021-09-30 21:54:06,20.931,-17.0347,73.38,78,0,14.97
122,Konyshevka,RU,2021-09-30 21:54:07,51.8418,35.2941,35.31,78,0,5.37
123,Tuktoyaktuk,CA,2021-09-30 21:54:07,69.4541,-133.0374,32.0,69,40,5.75
124,Greenwood,US,2021-09-30 21:53:00,34.1668,-82.1165,84.97,68,1,3.44
125,Poronaysk,RU,2021-09-30 21:54:07,49.2167,143.1167,52.02,78,49,6.11
126,Aykhal,RU,2021-09-30 21:54:08,66.0,111.5,27.77,61,68,5.17
127,Calvinia,ZA,2021-09-30 21:54:08,-31.4707,19.776,57.87,48,0,5.17
128,Thompson,CA,2021-09-30 21:54:08,55.7435,-97.8558,66.36,39,20,4.61
129,Provideniya,RU,2021-09-30 21:54:09,64.3833,-173.3,35.71,60,90,15.66
130,Riviere-Au-Renard,CA,2021-09-30 21:54:09,48.9957,-64.3971,48.2,96,100,21.81
131,Kodiak,US,2021-09-30 21:54:09,57.79,-152.4072,43.52,70,100,13.18
132,Arona,ES,2021-09-30 21:54:10,28.0996,-16.681,72.81,61,0,1.99
133,Sao Joao Da Barra,BR,2021-09-30 21:54:10,-21.6403,-41.0511,73.49,83,72,11.63
134,Esperance,AU,2021-09-30 21:54:11,-33.8667,121.9,55.24,74,2,7.43
135,Dingle,PH,2021-09-30 21:54:11,10.9995,122.6711,75.94,91,78,1.97
136,Cabo San Lucas,MX,2021-09-30 21:54:11,22.8909,-109.9124,92.61,70,1,8.32
137,Butaritari,KI,2021-09-30 21:54:12,3.0707,172.7902,81.57,77,99,12.66
138,Kaka,TM,2021-09-30 21:54:12,37.3482,59.6143,61.18,44,0,3.2
139,Broken Hill,AU,2021-09-30 21:54:12,-31.95,141.4333,55.11,71,90,14.97
140,Bambous Virieux,MU,2021-09-30 21:54:12,-20.3428,57.7575,72.21,78,20,13.8
141,Puerto Quijarro,BO,2021-09-30 21:54:13,-17.7833,-57.7667,94.24,30,85,2.33
142,North Bend,US,2021-09-30 21:54:13,43.4065,-124.2243,77.94,89,90,16.11
